Country,Code,Longitude,Latitude,Year,Month,Temperature,Tourists
United Kingdom,GBR,-3.435973,55.378051,2017,October,9.47,3140000
Turkey,TUR,35.243322,38.963745,2017,October,12.56,3000000
Egypt,EGY,30.802498,26.820553,2017,October,24.10,826000
Jordan,JOR,36.238414,30.585164,2017,October,20.68,508700
Austria,AUT,14.550072,47.516231,2017,October,7.55,2838100
Bulgaria,BGR,25.48583,42.733883,2017,October,11.48,700000
Argentina,ARG,-63.616672,-38.416097,2017,November,17.54,240500
Australia,AUS,133.775136,-25.274398,2017,November,25.13,790000
Canada,CAN,-106.346771,56.130366,2017,November,-14.50,1700000
India,IND,78.96288,20.593684,2017,November,20.79,1000000
Indonesia,IDN,113.921327,-0.789275,2017,November,25.98,850000
Japan,JPN,138.252924,36.204824,2017,November,7.05,2380000
Mexico,MEX,-102.552784,23.634501,2017,November,17.79,1886227
Spain,ESP,-3.74922,40.463667,2017,November,8.97,4401330
Switzerland,CHE,46.818188,8.227512,2017,November,1.05,1076000
United Kingdom,GBR,-3.435973,55.378051,2017,November,5.52,3000000
Turkey,TUR,35.243322,38.963745,2017,November,6.85,1700000
Egypt,EGY,30.802498,26.820553,2017,November,18.68,800000
Jordan,JOR,36.238414,30.585164,2017,November,14.71,476400
Austria,AUT,14.550072,47.516231,2017,November,1.73,1984600
Bulgaria,BGR,25.48583,42.733883,2017,November,5.95,501000
Argentina,ARG,-63.616672,-38.416097,2017,December,19.83,260000
Australia,AUS,133.775136,-25.274398,2017,December,26.99,1000000
Canada,CAN,-106.346771,56.130366,2017,December,-21.52,2005000
India,IND,78.96288,20.593684,2017,December,17.48,1190000
Indonesia,IDN,113.921327,-0.789275,2017,December,25.80,900000
Japan,JPN,138.252924,36.204824,2017,December,1.75,2550000
Mexico,MEX,-102.552784,23.634501,2017,December,15.36,2682325
Spain,ESP,-3.74922,40.463667,2017,December,6.07,3981750
Switzerland,CHE,46.818188,8.227512,2017,December,-1.96,1150000
United Kingdom,GBR,-3.435973,55.378051,2017,December,3.85,2760000
Turkey,TUR,35.243322,38.963745,2017,December,1.94,1750000
Egypt,EGY,30.802498,26.820553,2017,December,14.28,830000
Jordan,JOR,36.238414,30.585164,2017,December,9.94,479700
Austria,AUT,14.550072,47.516231,2017,December,-2.21,3436700
Bulgaria,BGR,25.48583,42.733883,2017,December,1.21,510000
